_id,lon,lat,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
65bfd4c386be73e0142cd1fd,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707070502
65bfd4c386be73e0142cd203,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707068581
65bfd4c386be73e0142cd202,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069242
65bfd4c386be73e0142cd1fe,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd4c386be73e0142cd204,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069242
65bfd4c386be73e0142cd206,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd4c386be73e0142cd205,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd5a8bcc164827e08387c,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd4c386be73e0142cd207,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd4c386be73e0142cd208,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066002
65bfd4c386be73e0142cd1f9,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707068581
65bfd4c386be73e0142cd1fa,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066002
65bfd5a8bcc164827e08387d,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd4c386be73e0142cd1fc,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd5a8bcc164827e083883,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd5a8bcc164827e083881,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd5a8bcc164827e083882,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707064501
65bfd5a8bcc164827e08387e,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707067321
65bfd5a8bcc164827e083880,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd5a8bcc164827e083886,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd5a8bcc164827e083885,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066002
65bfd5a8bcc164827e083884,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707067321
65bfd5a8bcc164827e083887,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd5a8bcc164827e083888,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707064501
65bfd5a8bcc164827e08387f,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707067321
